page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Spotted : Saint-Georges de beauce,SpottedSaintGeorgesBeauce,378831002175138,#378831002175138,299,91279,"305,3",non
Îles de la Madeleine,portaililesdelamadeleine,99849916217,#99849916217,298,94857,"318,3",non
Mario Beaulieu,mariobeaulieu101,100044349435134,#100044349435134,297,164975,"555,5",non
"Martin Latulippe, CSp",MartinLatulippeCSp,241817470603,#241817470603,297,97155,"327,1",non
Silo 57,silo57,609085822623089,#609085822623089,296,127685,"431,4",non
Ta vie en texto,Tavieentexto,223228547765912,#223228547765912,295,296576,"1005,3",non
Conservative Party of Canada - Parti conservateur du Canada,cpcpcc,5661704203,#5661704203,295,246202,"834,6",non
Adornetto,adornettogalerie,114447922238262,#114447922238262,294,138230,"470,2",non
Vie de Parents,Viedeparents.ca,203061946801339,#203061946801339,291,215101,"739,2",non
CHAU Nouvelles,CHAUNouvelles,154210758084122,#154210758084122,289,92695,"320,7",non
Mélissa Normandin Roberge: Conférencière et Coach,melissanormandinroberge,723572717745582,#723572717745582,288,195347,"678,3",non
"Evelyne Ferron, historienne",Evelynehst,1586766604919606,#1586766604919606,288,69809,"242,4",non
Hypersensibles et empathes,Hypersensibles,484097948382583,#484097948382583,285,612083,"2147,7",non
Joelle Collection,joelledesaulniersstyliste,388179931289814,#388179931289814,285,166137,"582,9",non
Magazine La Semaine,magazinelasemaine,302171686505596,#302171686505596,284,195446,"688,2",non
Fédération des Québécois de souche,Fquebecoisdesouche,184391164917258,#184391164917258,284,62249,"219,2",non
Visitez Montréal / Visit Montréal,Montreal,345444881269,#345444881269,283,522489,"1846,3",non
Fanoweb,Fanoweb,264064142975,#264064142975,283,64814,229,non
Nature en vue - Eric Deschamps Photographie,natureenvue2,1141711569208995,#1141711569208995,282,719399,"2551,1",non
Piranha Club,Piranha.Club,101001288068868,#101001288068868,281,519641,"1849,3",non
