page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Liantis,LiantisBelgium,158753216959,#158753216959,144,1900,"13,2",non
Institut Sainte-Thérèse Manage et La Louvière,istmanagelalouviere,439972276377942,#439972276377942,143,11152,78,non
Honda Belgium,hondabelgium,121776041229758,#121776041229758,143,11147,78,non
Athénée Royal de Saint-Ghislain,ARStGhislain,303265366384379,#303265366384379,143,10868,76,non
Commission Européenne en Belgique / Europese Commissie in Belgie,EU4BE,295165170561769,#295165170561769,143,4940,"34,5",non
Intermarché,IntermarcheStrepy,1103837076318156,#1103837076318156,143,4615,"32,3",non
Centre culturel de Huy,centrecultureldehuy,1825162387743217,#1825162387743217,143,4115,"28,8",non
ULiège Étudiant,uliegeetudiant,165630980293046,#165630980293046,143,4023,"28,1",non
OxfamSolidarité OxfamSolidariteit,oxfamsol,138174122881,#138174122881,143,3985,"27,9",non
MCFA - Maison de la Culture Famenne-Ardenne,mcfa.be,194153457336738,#194153457336738,143,3395,"23,7",non
Gwenaëlle Grovonius Députée PS,gwengrovonius,852013494856695,#852013494856695,143,3267,"22,8",non
uman,umanist,11354945508,#11354945508,142,10099,"71,1",non
Benika Group,benikagroup,611736519299782,#611736519299782,142,6995,"49,3",non
Commune de Cerfontaine,communedecerfontaine,1863383237272888,#1863383237272888,142,6849,"48,2",non
Le chat noir studio tattoo,monsieurchatnoir,390868821699519,#390868821699519,142,5945,"41,9",non
MaMA Festival & Convention,mamaevent.paris,116142201734991,#116142201734991,142,5277,"37,2",non
Compagnons Bâtisseurs,compagnonsbatisseurs.asbl,235541729140,#235541729140,142,3375,"23,8",non
Kinepolis Fenouillet,kinepolis.fenouillet,1322406764470941,#1322406764470941,142,3191,"22,5",non
Laurence Zanchetta,LaurenceZanchettaPS55,589569481544137,#589569481544137,142,3126,22,non
Christian Delagrange Officiel,ChristianDelagrangeOfficiel,100044373281730,#100044373281730,141,900781,"6388,5",non
Les Chasseurs,artprocinema,100044332694729,#100044332694729,141,494338,"3505,9",non
Planet Parfum,planetparfum.be,500390270065270,#500390270065270,141,48971,"347,3",non
Safeonweb_be,Safeonweb.be,102682536587481,#102682536587481,141,23436,"166,2",non
Pierre Kompany,pierrekompanyganshoren,634051606697086,#634051606697086,141,18417,"130,6",non
Maison du Tourisme du Pays de Vesdre,paysvesdre.maisontourisme,461554994025803,#461554994025803,141,4616,"32,7",non
Enabel,EnabelBelgium,156997890980952,#156997890980952,141,4401,"31,2",non
Le monde est un village - La Première RTBF,LeMondeEstUnVillage,93243209368,#93243209368,141,4334,"30,7",non
Administration Communale de Thimister-Clermont,ThimisterClermont,2107798305951199,#2107798305951199,141,3388,24,non
Pro Velo Bruxsel,pro.velo,281426745206794,#281426745206794,141,3063,"21,7",non
Salons du vin et du fromage de Floreffe-Court-St-Etienne et Aiseau-Presles,salonduvinfloreffe,443059522383237,#443059522383237,141,2957,21,non
Banque de Luxembourg,banquedeluxembourg,122811601233575,#122811601233575,141,2866,"20,3",non
Ecolo Brabant wallon,ecolobw,1712357138983896,#1712357138983896,141,2214,"15,7",non
Français de nos régions,francaisdenosregions,100057585642713,#100057585642713,140,46515,"332,3",non
Westland Shopping (Officiel),WestlandShoppingAnderlecht,183579825025379,#183579825025379,140,32311,"230,8",non
Valentino Palumbo,ValentinoPlmb,244587462226767,#244587462226767,140,24591,"175,7",non
Le Forum de Liège,leforumdeliege,110359899101084,#110359899101084,140,8174,"58,4",non
Francesco Palmeri,francescopalmeriofficiel,100057776754409,#100057776754409,140,5145,"36,8",non
Maximum FM,maximumliege,163731923658015,#163731923658015,140,4818,"34,4",non
"ADL Léglise, Martelange, Fauvillers, Vaux-sur-Sûre",ADLLFMV,1587242181491196,#1587242181491196,140,4514,"32,2",non
Beatles day Mons,beatlesdaymons,413009590057,#413009590057,140,4287,"30,6",non
Office du tourisme de Beauraing,OfficeDuTourismeDeBeauraing,419697534711916,#419697534711916,140,3860,"27,6",non
Zone de Secours Hemeco,COPS.HEMECO,1753414164938132,#1753414164938132,140,2998,"21,4",non
Collectif Des Femmes,collectifdesfemmesasbl,1915813328644641,#1915813328644641,140,2998,"21,4",non
Service Enfance Commune de Jemeppe sur Sambre,ServiceEnfanceJemeppesurSambre,174815063318341,#174815063318341,140,1889,"13,5",non
Edgard & Cooper,EdgardCooperFR,440898269625165,#440898269625165,139,88443,"636,3",non
SRPA Veeweyde,VeeweydeOfficiel,313489902089876,#313489902089876,139,51487,"370,4",non
Soutien à Vladimir Poutine,passionvladimirpoutine,722991454511689,#722991454511689,139,21970,"158,1",non
ENGIE,ENGIEBelgium,356739147855925,#356739147855925,139,7114,"51,2",non
Binche Tourisme,Binchetourisme,398023970381042,#398023970381042,139,6084,"43,8",non
MR Bruxelles,MRBruxelles,249473338453614,#249473338453614,139,6041,"43,5",non
Kilogram - Épicerie Zéro Déchet,epicerie.kilogram,333386383921474,#333386383921474,139,5623,"40,5",non
Intermarché Courcelles,IntermarcheDeCourcelles,1068300000000000,#1068302139876390,139,5552,"39,9",non
Commune d'Oreye,communeoreye,808883905834204,#808883905834204,139,4484,"32,3",non
beer.be,beerdotbe,274429682596755,#274429682596755,139,2815,"20,3",non
François Desquesnes,f.desquesnes,279758248890258,#279758248890258,138,15063,"109,2",non
Woluwe1150,WOLUWE1150,1021658841294728,#1021658841294728,138,10385,"75,3",non
STIHL,stihlBEFR,161437167544374,#161437167544374,138,9063,"65,7",non
Athénée Royal de Waimes,arwaimes,496275590441992,#496275590441992,138,8738,"63,3",non
Rideau de Bruxelles,RideaudeBruxelles,297127263685722,#297127263685722,138,5070,"36,7",non
Rachid Madrane,rachid.madrane,629000000000000,#628949120569133,138,5034,"36,5",non
hub.brussels,brusselshub,139280190202202,#139280190202202,138,3739,"27,1",non
Le Padel,lepadel.info,2184594825127541,#2184594825127541,138,3706,"26,9",non
Centre Vidéo De Bruxelles,cvb.documentairesauteurs,100424240297782,#100424240297782,138,2905,"21,1",non
Maison Croix-Rouge d'Aubange - Messancy,MCR.aubange.messancy,1932503406967175,#1932503406967175,138,2001,"14,5",non
Diables Rouges Addict,DiablesRougesBelgium,1563714650575011,#1563714650575011,137,341436,"2492,2",non
Germaine Collard,germainecollardonline,302030726516686,#302030726516686,137,25481,186,non
Croix-Rouge de Woluwe Saint Lambert,CroixRougeWSL,450214992045142,#450214992045142,137,15476,113,non
Levensloop - Relais pour la Vie - Relay For Life Belgium,relayforlifebelgium,205262989515308,#205262989515308,137,7024,"51,3",non
Extinction Rebellion Liège,ExtinctionRebellionLiege,426216194651180,#426216194651180,137,3727,"27,2",non
IHECS,IHECS,51764349061,#51764349061,137,3564,26,non
RSFC Bouillon,FCBOUILLON,1158119694286607,#1158119694286607,137,3438,"25,1",non
La Ligue de l'Enseignement et de l'Education permanente,LigueDeLEnseignementEtDeEducationPermanenteAsbl,400719310011289,#400719310011289,137,2673,"19,5",non
Chiche que + de 1.500.000 personnes aiment la Belgique UNIE,Chiche.que1500000pour.la.Belgique,203024643102517,#203024643102517,137,2324,17,non
Extinction Rebellion Mons / Borinage,XRMonsBorinage,2333184550076537,#2333184550076537,137,2241,"16,4",non
Emir Kir,emirkir,582735428501373,#582735428501373,136,17363,"127,7",non
CAP sur Marche,CAPmarche,570006746362701,#570006746362701,136,5704,"41,9",non
Judo-Club Centre Brugelettois,jccbrugelettois,20836346582,#20836346582,136,4639,"34,1",non
Écocentre Oasis - Écologie appliquée,oasisecocentre,139003132827159,#139003132827159,136,4452,"32,7",non
Ambassade de Belgique en France et à Monaco,ambabelparis,199030640445667,#199030640445667,136,3815,"28,1",non
Parlement de la Fédération Wallonie - Bruxelles,parlement.federation,911968212193336,#911968212193336,136,3725,"27,4",non
"Commerçants, Indépendants, Artistes et Artisans du Pays de Theux",CIADuPaysDeTheux,419563951416760,#419563951416760,136,3262,24,non
"ULB-Faculté de Lettres, Traduction et Communication",ulbltc,843989078983609,#843989078983609,136,1848,"13,6",non
DH Sports Luxembourg,dhsportslux,2379024865649981,#2379024865649981,136,1331,"9,8",oui
"Bien Mieux, Ecouter son Coeur",bienmieuxsas,653472818053086,#653472818053086,135,1049160,"7771,6",non
Hubo,hubo.be,47743508263,#47743508263,135,172545,"1278,1",non
Elke Van den Brandt,elkevandenbrandt,103670281004702,#103670281004702,135,25920,192,non
Colruyt Group,colruytgroup,602581353103964,#602581353103964,135,25669,"190,1",non
Colruyt Lekker Koken - En Cuisine,ColruytLekkerKoken.EnCuisine,263789963739603,#263789963739603,135,8941,"66,2",non
Institut des Arts et Métiers de Pierrard,ampierrard,103290819802567,#103290819802567,135,8315,"61,6",non
Centre Culturel De Bastogne,centreculturel.debastogne.1,846834138745316,#846834138745316,135,4748,"35,2",non
Association des Mompreneurs de Belgique,mompreneurs.be,123095117775508,#123095117775508,135,3909,29,non
Centre de Prévention du Suicide – Belgique,centredepreventiondusuicide,133667973332840,#133667973332840,135,2976,22,non
Intermarche contact ohey,intermarche.contact.ohey,496339927225279,#496339927225279,134,30708,"229,2",non
"CHR Haute Senne, Soignies - Belgique",chrhautesenne,117623914935174,#117623914935174,134,28333,"211,4",non
Galeria Inno,GaleriaInno,196878380359080,#196878380359080,134,20095,150,non
Commune de Watermael-Boitsfort / Gemeente Watermaal-Bosvoorde,communeWatermaelBoitsfort,189742641062660,#189742641062660,134,5507,"41,1",non
Gestion Centre-Ville Hannut,GCVhannut,370123513109432,#370123513109432,134,5358,40,non
Athénée Royal de Binche,arbinche.be,147728902554467,#147728902554467,134,5033,"37,6",non
Maxi Zoo Belgium,MaxiZooBelgium,153939144754750,#153939144754750,134,4825,36,non
Chapelle lez Herlaimont: l'envers du décor.,ChapelleLezHerlaimont1,360103530738890,#360103530738890,134,3776,"28,2",non
Visit France,francetravels,450220458341841,#450220458341841,134,3234,"24,1",non
Notre-Dame de Beauraing,ndbeauraing,1093866324010677,#1093866324010677,134,3022,"22,6",non
RSC Anderlecht,rsca.be,8459928910,#8459928910,133,129011,970,non
Defensie - La Défense - Belgian Defence,defence.be,789254734483922,#789254734483922,133,80910,"608,3",non
H5 Motivation,H5motivation,1563930000000000,#1563929056965360,133,26879,"202,1",non
Christina Cassano,christinacassanohairartist,1403840000000000,#1403840556550400,133,17124,"128,8",non
The Belgian Navy,TheBelgianNavy,650700358287878,#650700358287878,133,15097,"113,5",non
Opel,OpelBE,211399678894108,#211399678894108,133,7919,"59,5",non
Mizuri - Révéler La Beauté Des Peaux Noires et Métissées,Mizuri.be,416927985722559,#416927985722559,133,2500,"18,8",non
Cal Charleroi,cal.charleroi,505841232812719,#505841232812719,133,2058,"15,5",non
Le Chemin De l'islam,Ayadi0073,757818624420537,#757818624420537,133,1786,"13,4",non
Would You React?,WouldYouReact,1486630000000000,#1486629894904790,132,448491,"3397,7",non
Le jardin extraordinaire - RTBF,LeJardinExtraordinaireRTBF,437020716357098,#437020716357098,132,114318,866,non
Visit Ardenne,visit.ardenne,147748802079489,#147748802079489,132,46640,"353,3",non
"Tibi, Intercommunale de gestion intégrée des déchets",TibiIntercommunale,248040125349176,#248040125349176,132,33949,"257,2",non
Pierre Marcolini,pierremarcolini,119358088122553,#119358088122553,132,21673,"164,2",non
Bastogne War Museum,BastogneWarMuseum,371494496260421,#371494496260421,132,14438,"109,4",non
MediaMarkt Be,MediaMarktBE,587576881255224,#587576881255224,132,13754,"104,2",non
Collège d'Alzon,CollegedAlzon,441166695895917,#441166695895917,132,8195,"62,1",non
MR Braine-l'Alleud,mrbrainelalleud,113379202062538,#113379202062538,132,4434,"33,6",non
FFR Community - Communauté Multigaming Francophone,FFRCommunity,531060173905002,#531060173905002,132,4027,"30,5",non
Commune de Bièvre,Commune.de.Bievre,472164182967765,#472164182967765,132,2830,"21,4",non
Comac Namur,comacnamur,1525498694420049,#1525498694420049,132,2286,"17,3",non
Cinenews.be,cinenews.be,163095078163,#163095078163,132,1862,"14,1",non
ColorsEnjoy,colorsenjoy,1487331088225654,#1487331088225654,131,102818,"784,9",non
RWDM 47 - Officiel,RWDMOfficial,1639893186225237,#1639893186225237,131,30414,"232,2",non
Surfons tranquille - Classic 21 RTBF,Classic21SurfonsTranquille,111178778907208,#111178778907208,131,20712,"158,1",non
Partage d'images,PartageDimages,311275058952861,#311275058952861,131,6240,"47,6",non
Novotel Charleroi Centre,NovotelCharleroiCentre,126707424633357,#126707424633357,131,6206,"47,4",non
Cora Belgium,coraBelgiumRocourt,131341857530876,#131341857530876,131,5998,"45,8",non
Commune de Bassenge,communebassenge,1038197459553449,#1038197459553449,131,5722,"43,7",non
Festival Anima,festivalanima,128750197139328,#128750197139328,131,5675,"43,3",non
CINEMATEK,CINEMATEK.be,22720040196,#22720040196,131,3304,"25,2",non
Administration Communale de Clavier,CommuneClavier,590601894292233,#590601894292233,131,2856,"21,8",non
Le Geste du Mois,GesteduMois,158016458308887,#158016458308887,131,2341,"17,9",non
Je Cours Pour Ma Forme,JeCoursPourMaFormeBelgique,137143476428408,#137143476428408,130,10031,"77,2",non
Drink&Lipstick,Drink.and.Lipstick,203297466363295,#203297466363295,130,9282,"71,4",non
Olivier Dachkin,olivierdachkin.officiel,352364228159661,#352364228159661,130,6204,"47,7",non
Honda Motorcycles & ATVs,HondaMotoBelux,707988769309558,#707988769309558,130,3189,"24,5",non
Centre Culturel de Floreffe,centreculturel.defloreffe,1670135253218481,#1670135253218481,130,3085,"23,7",non
Cuisines Dovy,cuisinesdovy,346067012162603,#346067012162603,130,2816,"21,7",non
Centre Culturel de Marchin,centreculturelmarchin,363735137122603,#363735137122603,130,2570,"19,8",non
Alex Misterptattoo,misterptattoo,346877455410439,#346877455410439,130,2434,"18,7",non
Pablo Andres,PabloAndresOfficiel,100044295706293,#100044295706293,129,885290,"6862,7",non
Médiacité Liège,mediaciteliege,196428719936,#196428719936,129,42440,329,non
Le Brabant wallon,brabantwallon,130476200472207,#130476200472207,129,18180,"140,9",non
Police locale Arlon/ Attert/ Habay/ Martelange,ZP5297,2073007156262687,#2073007156262687,129,16370,"126,9",non
Marshall Dixon,marshalldixonofficial,100050579705440,#100050579705440,129,8240,"63,9",non
URSL Visé,urslvise,804337342951786,#804337342951786,129,4765,"36,9",non
FeMiNiSmE - YeAh,feminisme.yeah,239852396106881,#239852396106881,129,2738,"21,2",non
Maison Arc-en-Ciel de la province de Luxembourg,MaisonArcenCielduLuxembourg6760,939369626133921,#939369626133921,129,1928,"14,9",non
Emmanuelle Praet Page,emmanuellepraetpage,859198297460959,#859198297460959,128,176582,"1379,5",non
Aymeric DE LAMOTTE,aymericdelam,841559215859811,#841559215859811,128,13717,"107,2",non
Daniel Bacquelaine,dbacquelaine,461155170577170,#461155170577170,128,11957,"93,4",non
White Cinema,WhiteCinema,324820994542749,#324820994542749,128,9084,71,non
Atelier Rock Huy,AtelierRock.be,161348460729906,#161348460729906,128,4073,"31,8",non
Office du Tourisme De Hamoir,TourismeHamoir,131341473604883,#131341473604883,128,3886,"30,4",non
Parc naturel Haute Sûre Forêt d'Anlier,parc.naturelHSFA,293639290762714,#293639290762714,128,3298,"25,8",non
Simone Susskind,susskindsimone,729669487053264,#729669487053264,128,3182,"24,9",non
PS Sénat,ps.senat,462014003939769,#462014003939769,128,2265,"17,7",non
Ecolo Soignies,LocaleEcoloSoignies,279176748858903,#279176748858903,128,1669,13,non
Famiflora,famifloraFR,131839350319638,#131839350319638,127,82953,"653,2",non
Christophe De Beukelaer,ChristopheDeBeukelaerOFFICIEL,234267906711043,#234267906711043,127,9130,"71,9",non
Commissaire Olivier Quisquater,COMMISSAIRE.OLIVIER.QUISQUATER,38188289409,#38188289409,127,8652,"68,1",non
Union Communiste Libertaire Bruxelles,UCLBruxelles161,518955401523632,#518955401523632,127,5524,"43,5",non
Institut Saint-Michel Neufchâteau,InstitutSaintMichel,1539315613043095,#1539315613043095,127,5224,"41,1",non
Athénée Royal René Magritte Lessines - ARRML,ARRML7860,232998480486213,#232998480486213,127,4388,"34,6",non
UCLouvain FUCaM Mons,UCLouvainFUCaM,166132800140555,#166132800140555,127,3831,"30,2",non
Basket Ball Brunehaut,BasketBallBrunehaut,138023829731422,#138023829731422,127,2722,"21,4",non
Bénédicte Philippon,benephilippon,100044141724086,#100044141724086,126,68759,"545,7",non
YAHIA Mekhiouba يحيى مـخـيـوبة,YahiaMekhioubaPage,248187689402549,#248187689402549,126,55410,"439,8",non
The Huggy's Bar,thehuggysbar,356846327727216,#356846327727216,126,33000,"261,9",non
Commune de Vaux-sur-Sûre,vauxsursure,655025501284980,#655025501284980,126,6144,"48,8",non
AlloPark,alloparklowcost,707965326007900,#707965326007900,126,5849,"46,4",non
Bibliothèque d'Estaimpuis,biblioestaimpuis,193671244450721,#193671244450721,126,3742,"29,7",non
efp,efpbxl,205964462785356,#205964462785356,126,3307,"26,2",non
Travel Magazine,travmag,339227173808,#339227173808,126,3306,"26,2",non
Albert Vicaire,VicaireAlbert,106189634104097,#106189634104097,126,2435,"19,3",non
Centre Culturel du Pays des Collines,CCPCollines,147943535267910,#147943535267910,126,2316,"18,4",non
La fusion des aiguilles sur la peau.,LaFusionDesAiguillesSurLaPeau,385413778204876,#385413778204876,125,26572,"212,6",non
Le Commerce visétois,CommerceVisetois,168258046650455,#168258046650455,125,11661,"93,3",non
Théâtre de Namur,letheatredenamur,1505053176425158,#1505053176425158,125,6420,"51,4",non
Kevin Bacon's,kevinbacons.official,435887259900944,#435887259900944,125,5803,"46,4",non
NRG Seraing,nrgseraing,132657687521142,#132657687521142,125,4993,"39,9",non
Nandrin,communedenandrin,1532308743672145,#1532308743672145,125,4178,"33,4",non
Entraide et Fraternité,EntraideEtFraternite,133104566844054,#133104566844054,125,3643,"29,1",non
Kinepolis Nîmes,kinepolisnimes,158800777479705,#158800777479705,125,3468,"27,7",non
Centre Culturel Couvin,centreculturel.couvin,736875389725281,#736875389725281,125,3037,"24,3",non
Maison du Tourisme Ourthe-Vesdre-Ambleve,tourismeOVA,138940949457547,#138940949457547,125,2337,"18,7",non
ADL Héron,AdlHeron,316134765134896,#316134765134896,125,2267,"18,1",non
Panathlon Wallonie-Bruxelles,PanathlonWB,217668537692,#217668537692,125,2147,"17,2",non
PS de Huy,PSdeHuy,349328821762595,#349328821762595,125,1960,"15,7",non
Thea Jewelry,TheaJewelry2011,140644439376986,#140644439376986,125,1861,"14,9",non
Régionale Ecolo Charleroi Métropole,RegionaleEcoloCharleroiMetropole,128344523938434,#128344523938434,125,1493,"11,9",non
Pierimport Algérie,PIERIMPORTALGERIE,168396079866029,#168396079866029,124,22266,"179,6",non
Infrabel,Infrabel,359763604079010,#359763604079010,124,19983,"161,2",non
What The Fun,WhatTheFunBE,100051796102642,#100051796102642,124,14290,"115,2",non
Pierre-Yves Dermagne,PYDermagne,216433902157171,#216433902157171,124,10849,"87,5",non
Custom Culture Shop Belgium,customcultureshopbelgium,2347708028790496,#2347708028790496,124,6505,"52,5",non
EAME : Ecole d'Arts et Métiers Erquelinnes,E.A.M.Erquelinnes,180326518991033,#180326518991033,124,6480,"52,3",non
Ticketmaster Belgique,TicketmasterBelgique,105082932866975,#105082932866975,124,6282,"50,7",non
Hijab Obsession,AHijabObsession,1329829837098513,#1329829837098513,124,4438,"35,8",non
Cécile Jodogne,jodogne.cecile,812728452152024,#812728452152024,124,3980,"32,1",non
Hdot.biz,DotriceHugues,337490300241609,#337490300241609,124,3969,32,non
Police Locale ZP Fourons - 5382,zonepol5382,954978804538809,#954978804538809,124,3958,"31,9",non
Athénée Royal Simone Veil - ARBeaumont,arbeaumont,743329852454396,#743329852454396,124,3726,30,non
Senaat - Sénat,SenaatSenat,1522980000000000,#1522980881299300,124,1974,"15,9",non
MR Sénat,groupemrsenat,320596994646781,#320596994646781,124,1894,"15,3",non
Würth Belux,wurth.belux.nvsa,234012706621402,#234012706621402,124,1739,14,non
Sans Collier ASBL,SansCollierASBL,228284617206701,#228284617206701,123,504460,"4101,3",non
MADL créations,madlcreation.be,1421515788092406,#1421515788092406,123,24930,"202,7",non
CHU Brugmann,chubrugmann,149663038416875,#149663038416875,123,17694,"143,9",non
BNP Paribas Fortis Belgique,BNPParibasFortisBelgique,250345941651306,#250345941651306,123,13139,"106,8",non
PTB Poste,PTBPoste,1732943800262009,#1732943800262009,123,6110,"49,7",non
Stavelot Tourisme,stavelot.tourisme,219176538290533,#219176538290533,123,5457,"44,4",non
Boitsfort Rugby Club,boitsfortrugby,125182524160143,#125182524160143,123,4519,"36,7",non
Fédération des Etudiants Libéraux,etudiantsliberaux,6520274567,#6520274567,123,4446,"36,1",non
Simon Moutquin,simonMoutquinEcolo,327421871541107,#327421871541107,123,3149,"25,6",non
Nutri-Shop,NutriShop.be,312235085558960,#312235085558960,123,2689,"21,9",non
Commune de Sombreffe - Officiel,communedesombreffeofficiel,1794008530894156,#1794008530894156,123,1963,16,non
LIFE In Quarries,lifeinquarries,926455590771572,#926455590771572,123,1779,"14,5",non
Centre culturel de Waterloo - Espace Bernier,centrecultureldewaterloo,214229741946248,#214229741946248,123,1387,"11,3",non
Les enfants de chœur - VivaCité RTBF,LesEnfantsDeChoeur,116263918431398,#116263918431398,122,57827,474,non
Mobly,mobly.be,508885022794250,#508885022794250,122,30000,"245,9",non
Jonas Gerckens,sailingjonas,413780828671067,#413780828671067,122,23682,"194,1",non
Martine Fallon - La Cuisine de l'Energie,CuisineDeLenergie,411700758907822,#411700758907822,122,15639,"128,2",non
Brussels,visitbrussels,114885670293,#114885670293,122,10972,"89,9",non
Malmedy Tourisme,syndicatdinitiative.malmedy,458434371030672,#458434371030672,122,10553,"86,5",non
Chœur de chambre de Namur,choeurchambrenamur,131217836915174,#131217836915174,122,5046,"41,4",non
Ville de Durbuy,VilledeDurbuy,2124640724481075,#2124640724481075,122,4694,"38,5",non
Rugby Club La Hulpe,rugbylahulpe,123433931033,#123433931033,122,4335,"35,5",non
Office du Tourisme du Pays d'Aubel,tourisme.aubel,449420321745872,#449420321745872,122,3503,"28,7",non
Justice et Paix,justicepaix,1425199314381122,#1425199314381122,122,2575,"21,1",non
Emission Clubnight,emission.clubnight,1507829229491118,#1507829229491118,122,2411,"19,8",non
Tourisme à Fosses la ville,SyndicatDinitiativeEtDuTourisme,164155563755447,#164155563755447,122,2156,"17,7",non
Boule d'histoire,bouledhistoire,342609426382216,#342609426382216,122,1484,"12,2",non
Félix Radu,pagefelixradu,100053282330220,#100053282330220,121,872037,"7206,9",non
Cité des Métiers de Charleroi,CDMCharleroi,221404421254890,#221404421254890,121,28386,"234,6",non
Commune de Verlaine,communeVerlaine,210219529325663,#210219529325663,121,4367,"36,1",non
Etudier en Hainaut : LPST Soignies Ecaussinnes,LPSTSoigniesEcaussinnes,231713820292489,#231713820292489,121,3408,"28,2",non
Office de Tourisme d'Ath,AthTourisme,879124385532195,#879124385532195,121,2286,"18,9",non
Extinction Rebellion Tournai,XRTournai,2219798654807936,#2219798654807936,121,2118,"17,5",non
Mohamed Ouriaghli,OuriaghliMoh,193547654021516,#193547654021516,121,2028,"16,8",non
Centre Culturel De Dison,ccdison,135806823183203,#135806823183203,121,1858,"15,4",non
Bibliothèques de Seraing,BibliothequesdeSeraing,1437298339868566,#1437298339868566,121,1311,"10,8",non
FR newsmonkey,FRnewsmonkey,1243403939134193,#1243403939134193,121,680,"5,6",non
Vlaams Belang Brussel,VlaamsBelangBrussel,499682940133305,#499682940133305,120,123926,"1032,7",non
Végétik,vegetik,206236999421515,#206236999421515,120,51088,"425,7",non
Imagine Demain le Monde,imagine.demainlemonde,285581978319215,#285581978319215,120,8416,"70,1",non
"Eesscf ""Le Chêneux"" - Amay",lecheneux,940460539321906,#940460539321906,120,5625,"46,9",non
Athénée Royal Princesse Elisabeth,ARPrincesseElisabeth,1808905172724768,#1808905172724768,120,5213,"43,4",non
Intérêts Brainois,interets.brainois,306577046054246,#306577046054246,120,4812,"40,1",non
Terre-en-vue,CoopTerreenvue,1589330000000000,#1589330798008400,120,4190,"34,9",non
L'Aube,LAubeEcoleDeDanse,656220054508985,#656220054508985,120,4098,"34,2",non
Liste du Bourgmestre de Jette - Lijst van de Burgemeester van Jette,LBJette,207233292728400,#207233292728400,120,3005,25,non
Office du Tourisme - Hastière à bras ouverts,Hastieretourisme,545305062295806,#545305062295806,120,2315,"19,3",non
e5 mode,e5mode,152945834742588,#152945834742588,120,2268,"18,9",non
Commune de Geer,communedegeer,1383620000000000,#1383621455047260,120,2175,"18,1",non
Confédération Construction,confederationconstruction,909339579126105,#909339579126105,120,1923,16,non
Jeunes FGTB Liège Huy Waremme,JeunesFgtbLHW,150074831841048,#150074831841048,120,1787,"14,9",non
Office du Tourisme de Namur,visitnamur,111575352187938,#111575352187938,119,19738,"165,9",non
Fadila Laanan,fadila.laanan.page,68221773985,#68221773985,119,19343,"162,5",non
Infiniti Dinant,infinitidinant,117804649621644,#117804649621644,119,14419,"121,2",non
Martelange.lu,martelangelu,462340010550731,#462340010550731,119,12919,"108,6",non
Laetare de Stavelot,laetaredestavelot,342931642512514,#342931642512514,119,11467,"96,4",non
Arc-en-Ciel Wallonie,arcencielwallonie,257991607550653,#257991607550653,119,8981,"75,5",non
CCnomie,ccnomie,478475125681584,#478475125681584,119,7297,"61,3",non
Europees Parlement in België / Parlement européen en Belgique,epbelgium,220538077963325,#220538077963325,119,3827,"32,2",non
École communale de Courcelles Motte,ecoledelamotte,1621116294842969,#1621116294842969,119,2919,"24,5",non
Centre culturel d'Aiseau-Presles asbl,CentreCulturelDAiseauPreslesAsbl,365742793498990,#365742793498990,119,2511,"21,1",non
Atelier de création sonore radiophonique,AtelierDeCreationSonoreRadiophonique,217411845037641,#217411845037641,119,2326,"19,5",non
Fondation pour les Générations Futures,FondationpourlesGenerationsFutures,194813181837,#194813181837,119,1994,"16,8",non
GRIP,GRIP.1979,337078279736704,#337078279736704,119,1303,"10,9",non
Radio Passion FM Belgique (officiel),PassionFM106.5,234738393234012,#234738393234012,119,1263,"10,6",non
Syndicat d'Initiative de Dinant,sidinant,296636190533131,#296636190533131,118,10809,"91,6",non
Emmanuel Pi Djob,EmmanuelPiDjobOfficiel,100047010555921,#100047010555921,118,9013,"76,4",non
Waterloo Ducks Hockey Club,WaterlooDucks,294684210605959,#294684210605959,118,7040,"59,7",non
Wallonia Export,AWEXBelgium,388762747896758,#388762747896758,118,3350,"28,4",non
Adrien Joveneau,joveneauadrien,369022387140281,#369022387140281,118,2855,"24,2",non
Syndicat d'initiative de Trooz,initiativetrooz,1547456345504457,#1547456345504457,118,2096,"17,8",non
Cinéma Écran Couvin,cineecran,273689599357591,#273689599357591,117,8974,"76,7",non
Colruyt Group Academy,colruytgroupacademy,427177134101319,#427177134101319,117,7509,"64,2",non
Brussels Citizens Rugby Auderghem,brusselscitizens,1566050073618075,#1566050073618075,117,6872,"58,7",non
Bonjour maurice,bonjourmauricebe,1733601216855697,#1733601216855697,117,2834,"24,2",non
RES Gesvoise,resgesvoise,896314657134562,#896314657134562,117,2598,"22,2",non
GoodPlanet Belgium,GoodPlanetBelgium,133865216689469,#133865216689469,117,2433,"20,8",non
Bibliothèques de Habay,lecturepubliquehabay,476596665849381,#476596665849381,117,2208,"18,9",non
Police locale de Seraing-Neupré,ZP5278,111386319031923,#111386319031923,116,34415,"296,7",non
Les Couches Tard D' Bxl,BruxellesInfos,405658139532221,#405658139532221,116,13442,"115,9",non
By James Patageul,byjamespatageul,1483102568663384,#1483102568663384,116,9798,"84,5",non
BePax,bepaxasbl,229203850426658,#229203850426658,116,7026,"60,6",non
La Commune de Marchin,CommunedeMarchin,535110766531175,#535110766531175,116,5376,"46,3",non
SecondPoteau Mercato,SecondPoteau1,234487153987104,#234487153987104,116,3888,"33,5",non
Faucons Rouges de Wanze,faucons.rouges.wanze,716541168368537,#716541168368537,116,2486,"21,4",non
