page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Maxime DAYE,pagemaximedaye,1379710762295495,#1379710762295495,512,42402,"82,8",non
Le réveil de Djé - RTBF,lereveildedjeRTBF,239497202126,#239497202126,510,245824,482,non
ZP 3 Vallees,zp3vallees,1407966422762219,#1407966422762219,505,54476,"107,9",non
G labouche info rdc,GlaboucheautoriseeGPP,1118249774947335,#1118249774947335,503,7417,"14,7",non
Alerte attentat Belgique,alerteattentatBelgique,1526657677653725,#1526657677653725,501,480015,"958,1",non
RFC Liège,rfcliege,36886396489,#36886396489,501,56239,"112,3",non
CDH - Centre Démocrate Humaniste,lecdh,189649407806135,#189649407806135,500,114611,"229,2",non
Cercle des Volontaires,CdVolontaires,302002546528363,#302002546528363,497,24051,"48,4",non
Comité Free.Assange.Belgium,ComiteAssangeBelgium,2299470423708477,#2299470423708477,496,57082,"115,1",non
Eddy Fontaine,eddyfontainedepute,1453557641374672,#1453557641374672,496,14163,"28,6",non
